Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/api/test,78528,111,5,636,33.17,0.064%,434.50451,279.75,66.58,659.3
TOTAL,78528,111,5,636,33.17,0.064%,434.50451,279.75,66.58,659.3
